latitude,longitude,report_timestamp,wave_max_height_m,wave_mean_direction_degrees,wave_peak_period_seconds,wave_significant_height_m,wind_direction_degrees,wind_gust_10m_kn,wind_gust_kn,wind_speed_10m_kn,wind_speed_kn,wind_temperature_c
32.8670359,-117.2640329,2020-02-27T21:00:00+00:00,0.673417787,253.9967126,14.62857143,0.401995242,8.296755153,2.08,1.6,1.733939342,1.333799494,23
32.8671325,-117.2640166,2020-02-27T21:30:00+00:00,0.617774783,264.2104461,14.62857143,0.364392297,317.0752239,2.6,2,1.957449957,1.505730736,22.86538462
32.8672636,-117.263917,2020-02-27T22:00:00+00:00,0.56080261,273.6850546,14.62857143,0.365790964,346.6427428,5.59,4.3,4.911025173,3.777711672,20
32.8673193,-117.263804,2020-02-27T22:30:00+00:00,0.49190032,278.975695,8.192,0.337459959,3.58117962,5.46,4.2,4.924439974,3.78803075,19
32.867356,-117.2637418,2020-02-27T23:00:00+00:00,0.571703038,285.1582997,15.75384615,0.371530437,352.9526723,5.59,4.3,5.075960572,3.904585055,19
32.8673802,-117.2636958,2020-02-27T23:30:00+00:00,0.572608544,276.8920037,7.585185185,0.319885093,337.4710181,3.38,2.6,2.727492856,2.098071428,19
32.8674634,-117.263666,2020-02-28T00:00:00+00:00,0.59442926,288.4612306,15.75384615,0.347892354,82.66757867,3.25,2.5,2.263701251,1.741308654,19
32.8674529,-117.2636743,2020-02-28T00:30:00+00:00,0.562702752,292.5914452,7.314285714,0.33811569,134.546815,2.21,1.7,1.350197964,1.038613819,18.27884615
32.8674775,-117.2637615,2020-02-28T01:00:00+00:00,0.537699992,282.1514403,7.876923077,0.325623373,128.4879939,3.9,3,3.176463515,2.443433473,18.69230769
32.8674555,-117.2638253,2020-02-28T01:30:00+00:00,0.466492716,285.9306881,15.75384615,0.322980027,162.6384724,1.82,1.4,1.183879471,0.910676516,19
32.8673657,-117.2638126,2020-02-28T02:00:00+00:00,0.409120164,276.9765676,15.75384615,0.307744681,132.3555973,3.38,2.6,3.09483701,2.380643854,19
32.8672223,-117.2638397,2020-02-28T02:30:00+00:00,0.483409228,275.2617671,15.75384615,0.319456658,83.13698579,2.99,2.3,2.344885345,1.803757958,18.40384615
